title,artist,year,date
Untitled,Jan Haycoe,NA,NA
Untitled,Jo Ganter,NA,NA
Unknown,Paul Youngs,NA,NA
Plate,Emma Gillies,NA,NA
Unknown,John Gilbert,NA,NA
Agriculture,Unknown,NA,NA
Untitled,Marjorie-Ann Ancell,NA,NA
Untitled - Snowy Landscape,Geoffrey J Roper,NA,NA
Plate,Emma Gillies,NA,NA
Unknown,Nugent,NA,NA
Study for picture 'Waking of Brynhildr',Pavlov Chailly,NA,NA
Limits,Phoebe Mitchell,NA,NA
Seated Female Nude,Lilias Stirling,NA,NA
Unknown,Alexander Cree,NA,NA
Seated Male Nude,Elizabeth Meldrum,NA,NA
Unknown,Peter Crorkin,NA,NA
Untitled - Woman and Man,Kirsty A Kirkwood,NA,NA
Portrait of Man in a Cap,Thomas Murray,NA,NA
Reclining Male Nude,Zygmunt Bukowski,NA,NA
Of Christine Clay,Connie Dearness,NA,NA
Cushendun,Unknown,NA,NA
Pekin knot sample,Unknown,NA,NA
Untitled,Unknown,NA,NA
Portrait of a Seated Woman,Peter Standen,NA,NA
etc,Catherine Robbie,NA,NA
Untitled - Figured Drawing of Nude Woman on a Couch,Gordon Bryce,NA,NA
Seated Female Nude,Alan T. Johnston,NA,NA
Racing Circuit,Jane V Hyslop,NA,NA
Standing Male Nude,Andrew P. W. Conkie,NA,NA
"Still Life with Jug of Flowers, Goblet and Fruit",Sir William George Gillies,NA,NA
Portrait of a Young Woman,Irene Scott,NA,NA
Drawing of a Man's Head,James Robertson,NA,NA
Self Portrait against Window,Gwen W. Hardie,NA,NA
Male Nude Leaning on a Table,Unknown,NA,NA
Sienna Cathedral,Ann Oram,NA,NA
Virgin and Child,Unknown,NA,NA
Plate,Emma Gillies,NA,NA
Unknown,Zygmunt Bukowski,NA,NA
Portrait of Head of a Woman,Frances Walker,NA,NA
Woman with Fish on her Head,John Bellany,NA,NA
Unknown,Rosemary Bagshaw,NA,NA
Seated Nude,Robert L Thompson,NA,NA
Portrait of Woman in White Blouse,Elizabeth G. Kellar,NA,NA
Untitled,Eve F. Thomson,NA,NA
Unknown,Margaret Moodie,NA,NA
Art Magazine Ads,Jeff Koons,NA,NA
Full length portrait of man from behind with three-point hat and sabre,Diana M. Douglas-Hamilton,NA,NA
Untitled - Standing Nude Female,Irene G. Thomson,NA,NA
Unknown,Sheila Turnbull,NA,NA
Untitled,Carl O Ekevall,NA,NA
Life Painting,David Michie,NA,NA
Seated Male Nude reading newspaper,Jean Richie,NA,NA
Untitled,Sarah Sanford,NA,NA
Unknown,Andrew P. W. Conkie,NA,NA
Untitled,Elizabeth M. Hansen,NA,NA
Light Around Limbo,Joseph Glover,NA,NA
Reclining Female Nude,Walter Miller,NA,NA
Untitled,Richard Easson,NA,NA
Untitled - Abstract Road,Laura McPherson,NA,NA
Untitled,Robert Rivers,NA,NA
Seated Male Nude,J Salter,NA,NA
Portrait of a Woman's Head,Thomson,NA,NA
Abstract Composition with Blue Stripes,Ian G. Robertson,NA,NA
Untitled,Pamela Richardson,NA,NA
Wildflowers and Butterfly,John P Busby,NA,NA
Stretching Male Nude,Valerie Donaldson,NA,NA
Untitled - Nude Woman in Red Reclining on a Red Couch,Meriel A W de C Acton,NA,NA
Portrait of a Young Man,Alexander F Mitchell,NA,NA
Summer Fayre,Unknown,NA,NA
Townscape with Church,Margaret Proudfoot,NA,NA
Unknown,Donald Provan,NA,NA
Drawing of Reclining Nude Sculpture,David Michie,NA,NA
Untitled - Nude Woman Wearing Veil,June M. Morgan,NA,NA
Standing Nude,John Johnstone,NA,NA
Portrait of a Seated Woman,Barbara Mackie,NA,NA
Untitled,Shona Van Dam,NA,NA
Ashes and Diamonds,David Freed,NA,NA
Portrait of a Woman,William D. MacKay,NA,NA
Untitled,Rebecca Firth,NA,NA
Untitled - Abstract Figures and Shapes,James B. Thomson,NA,NA
Untitled,Andrew Raeburn,NA,NA
Untitled,Andrea Bain,NA,NA
Seated Female Nude,Nicholas Otter,NA,NA
Unknown,Unknown,NA,NA
Two Seated Men,Douglas Gordon,NA,NA
Untitled,Joanne Leonie Milne,NA,NA
The Strike,Robert Marx,NA,NA
Untitled,Unknown,NA,NA
William Shakespeare Otelo,Boris Bućan,NA,NA
Untitled,A. Parkinson,NA,NA
Self Portrait,John Bellany,NA,NA
"Metope 9, south entablature, Parthenon",NA,NA,NA
Portrait of a Woman,John Sprakes DA (Edinburgh) PG (Edinburgh) ROI RBA MAFA,NA,NA
Untitled,Madelane Galloway,NA,NA
Still Life,Patrick J. Hickey,NA,NA
Untitled,Eileen Bennett,NA,NA
Life Drawing,John Bellany,NA,NA
South Frieze of the Parthenon Frieze,NA,NA,NA
Empty Potato Field,Frances M. Walker,NA,NA
Striding Male Nude,Alexander F Mitchell,NA,NA
Figure of a river-god from west pediment,NA,NA,NA
Treasure on a Loch,John Brown,NA,NA
Riders from South Frieze of the Parthenon,NA,NA,NA
Central Park in the Dark Some 40 Years Ago,"Eduardo Luigi Paolozzi KBE, RA",NA,NA
Preparatory sketch for main composition,Marjory Dickson,NA,NA
Portrait of a Woman,Hope,NA,NA
Aux cinq billiards,Ann F Ward,NA,NA
Unknown,Edith Duke,NA,NA
Untitled - Abstract Print of Foliage in Black and White,Rena R. Simpson II,NA,NA
Brick coloured woven fragment,Unknown,NA,NA
Untitled,Unknown,NA,NA
Abstract,Mark Harris,NA,NA
Seated Female Nude,Sheena McEwan,NA,NA
untitled,Valerie Anderson,NA,NA
Portrait of a Man Seated,Jane Heggie,NA,NA
Portrait of a Woman,David Ewans,NA,NA
Unknown,Mabel D. Lawford,NA,NA
Cow,Emma Gillies,NA,NA
Untitled - Abstract Blue and Red Shapes,Joanne Leonie Milne,NA,NA
Sean Connery as a Life Model,Alastair Fairweather,NA,NA
Ecorche of Houdon,Unknown,NA,NA
Portrait of a Man in a Suit,John Bellany,NA,NA
Untitled,Unknown,NA,NA
Aduton 51,Paul Feiler,NA,NA
Standing Woman,C Byron,NA,NA
Seated Female Nude with Striped Floor Drape,Unknown,NA,NA
Untitled,Jennifer M. Hughes,NA,NA
Untitled,Unknown,NA,NA
Falling Figure in an Autumn Valley,Alistair T. B. Burns,NA,NA
Untitled,Joanne Leonie Milne,NA,NA
Portrait of a Man,Jean I. Beattie,NA,NA
Portrait of a Man,Alexander S Campbell,NA,NA
"Armorial panel from left tower of Mar's Wark, Stirling",Unknown,NA,NA
Dish,Emma Gillies,NA,NA
Unknown,Unknown,NA,NA
Orange Abstract,Alistair Banks,NA,NA
Side Plate,Emma Gillies,NA,NA
Untitled,Louisa Burnett Hall,NA,NA
Portrait of a Young Woman,Richard McNeill,NA,NA
San Gimignano from the Fields,Jane V Hyslop,NA,NA
Architectural Scene,Joanne Leonie Milne,NA,NA
Self Portrait,Jacqueline A N Stieger,NA,NA
Untitled,Kirkland Main,NA,NA
Standing Male Nude,A Wrever,NA,NA
Vision in Time III,Wilhelmina Barns-Graham CBE HRSA HRSW,NA,NA
Standing Male Nude with Staff,David Michie,NA,NA
Reclining Female Nude,Fiona C MacCormick,NA,NA
Charioteer facing right,NA,NA,NA
Self Portrait,Richard Wright,NA,NA
