title,artist,year,date
Abstract Still Life with Jug and Fruit Bowl,Denness Morton,NA,NA
Unknown,Sean Byrne,NA,NA
Man Against Yellow Wall,Robbie Bushe,NA,NA
Untitled,June Hanlon,NA,NA
The Fruitstand,Elizabeth Gourlay,NA,NA
Standing Male Nude,Thomas Pow,NA,NA
Reclining Female Nude,Margaret Proudfoot,NA,NA
Unknown,Maureen Baird,NA,NA
Portrait of a Woman,W Baxter,NA,NA
Natural Geometry series,Robin Crawford,NA,NA
Nettleton,"Eduardo Luigi Paolozzi KBE, RA",NA,NA
Angel playing a pipe,Unknown,NA,NA
Untitled,Peter Marshall,NA,NA
Riders from the West Frieze of the Parthenon,NA,NA,NA
Unknown,Lindsay Marshall,NA,NA
Untitled - Portrait of a Man in a Hat,Anthony J Valentine,NA,NA
Sleeping Figure,Paul Gladston,NA,NA
Unknown,James T. Ferguson,NA,NA
Untitled,Jean M. A. Conacher,NA,NA
Espresso Cup,Emma Gillies,NA,NA
Reclining Female Nude,Helen Pollock,NA,NA
144,Mark Osborne,NA,NA
Untitled,Robert Rivers,NA,NA
Not For Gain,Daisy Lafarge,NA,NA
Nun with Two Workmen in a Country Landscape,Unknown,NA,NA
Untitled,Rachel Hill,NA,NA
Portrait of a Woman,Madelaine Philip,NA,NA
Standing Male Nude,Gwen Reilly,NA,NA
"Corbel from Trinity College Church, Edinburgh",Unknown,NA,NA
Seated Male Nude,John Parnell,NA,NA
Untitled,Pauline Cumming,NA,NA
Reclining Male Nude,Rosemary Wrighte,NA,NA
Untitled,John Wallbank,NA,NA
Untitled,David C Duke,NA,NA
"Composition with Hieroglyphics, Signs and Symbols",Sally E. Oswald,NA,NA
Unknown,Jean Fayrer,NA,NA
Unknown,Leonard I. H. Gray,NA,NA
Seated Male Nude,W Bryden,NA,NA
Untitled,Rita Marhaug,NA,NA
Composition with Black Square,Alastair R. W. Hearsum,NA,NA
Unknown,Rosemary Bagshaw,NA,NA
Diddly Doodly,John Brown,NA,NA
Untitled,Robert Rivers,NA,NA
Unknown,Rolandos Rimkunas,NA,NA
Untitled,Derek McGuire,NA,NA
"Marché, rue Mouffetard",Ann F Ward,NA,NA
Seated Male Nude,Ian Lawson,NA,NA
Unknown,Andrew P. W. Conkie,NA,NA
Standing Male Nude,Kirkland Main,NA,NA
Fossil Life,Wendy McMurdo,NA,NA
Unknown,Marjorie Wallace,NA,NA
Plate,Emma Gillies,NA,NA
Reclining Male Nude,Annette G B Ronald,NA,NA
Unknown,Leslie Johns,NA,NA
Untitled,David C Duke,NA,NA
Double Handled Vessel,Emma Gillies,NA,NA
Unknown,Unknown,NA,NA
Untitled - View From a Bath,Alison Hutton,NA,NA
Self Portrait,Barbara C. Balmer,NA,NA
Unknown,John Johnstone,NA,NA
Unknown,Ursula Giles,NA,NA
Self Portrait,Rose Rifat,NA,NA
Untitled,Jon McNaught,NA,NA
Unknown,Alexander Cree,NA,NA
Seated Male Nude,Gwendoline Rodger,NA,NA
Untitled,Zoë Telford,NA,NA
Untitled - Figures and Bicycles in the City,James B. Thomson,NA,NA
Abstract with Circles,Alan Davie,NA,NA
Untitled I,Jenny Smith,NA,NA
Seated Male Nude,David Ewans,NA,NA
Untitled,Paresh C. Chakraborty,NA,NA
Untitled - Figure Drawing of A Nude Woman Lying Down,Gordon Bryce,NA,NA
Portrait of a Woman,Thomas T Robertson,NA,NA
Riders: Parthenon Frieze,NA,NA,NA
Still Life,Kerry Watson,NA,NA
Riders from South Frieze of the Parthenon,NA,NA,NA
Machine stitched net,Unknown,NA,NA
Unknown,Unknown,NA,NA
Untitled,Joanne Leonie Milne,NA,NA
South Frieze of the Parthenon Frieze,NA,NA,NA
Studies of Cliffs,John Picking,NA,NA
Unknown,Unknown,NA,NA
Portrait of a Bearded Man,Derek Shiel,NA,NA
Head Drawing,John Stewart,NA,NA
Framed applique,Unknown,NA,NA
Portrait Figure Sitting,D. Gordon Campbell,NA,NA
2.,Anthony Benjamin,NA,NA
Seated Male Nude with Glasses,Elizabeth Meldrum,NA,NA
Harbour,James B. Thomson,NA,NA
Untitled - Two Birds,Norman Thom,NA,NA
Unknown,Alistair Fairweather,NA,NA
Untitled - Two Men in Suits,Catherine Robin,NA,NA
Cantoria,Unknown,NA,NA
Untitled,Maureen Purcell,NA,NA
Seated Female Nude,Isobel Howieson,NA,NA
Girl,Bosko Karanovic,NA,NA
Reclining Male Nude,James C. Y. Gavin,NA,NA
Zane,Isobel Turley,NA,NA
Untitled,G.A. C,NA,NA
Portrait of a Seated Young Woman,John Gilbert,NA,NA
Unknown,Zygmunt Bukowski,NA,NA
Man in Vest,Carole V Danielson,NA,NA
Portrait of a Bearded Man,Elise Brown,NA,NA
A Good Dream and a Bad Dream,John Mooney,NA,NA
Unknown,Marion M Cooper,NA,NA
Untitled,Emma Peacock,NA,NA
Untitled - Portrait of an Old Man,William Gillon,NA,NA
Unknown,Denness Morton,NA,NA
Hand Thrown Pot,Emma Gillies,NA,NA
NA,Llewella C. Brayne,NA,NA
Unknown,Victoria C F Bernie,NA,NA
Seated Female Nude,Mary Edmond,NA,NA
"Vale of Health, Hampstead Heath",Alexander Cree,NA,NA
Untitled - Two Apes Sun Bathing,Ann F Ward,NA,NA
Unknown,Peter Coyle,NA,NA
Unknown,Unknown,NA,NA
Horse,Emma Gillies,NA,NA
Untitled - Seated man in yellow,Fergus A Mathers,NA,NA
Matthew,Janie Nichol,NA,NA
Unknown,Joan F. Biggins,NA,NA
Portrait,Unknown,NA,NA
Blue Mood,Paul Furneaux,NA,NA
Untitled,Freya Cumming,NA,NA
Teacup,Emma Gillies,NA,NA
"Metope 6, from entablature of the Parthenon",NA,NA,NA
Untitled - Girl with Crows,Gwendolene E Roger,NA,NA
The Three Tyches,Unknown,NA,NA
Untitled,John Milligan,NA,NA
Masked Divers,Robin S. Taylor,NA,NA
Unknown,Gwen Mackenzie,NA,NA
Studio Interior,Hilary A. Fisher,NA,NA
Unknown,Gregor Smith,NA,NA
Untitled,Kathleen Russell,NA,NA
Unknown,James Bowman,NA,NA
Untitled,Unknown,NA,NA
Unknown,Mabel D. Lawford,NA,NA
Two Women,J Nicoll,NA,NA
Untitled,Unknown,NA,NA
Untitled,Elizabeth Shepherd,NA,NA
Untitled,Lisa Flett,NA,NA
Untitled,Esther W. Hamilton,NA,NA
Unknown,Eleanor Maiden,NA,NA
Hand Thrown Pot,Emma Gillies,NA,NA
Traviata,Boris Bućan,NA,NA
Blue and Black Grid,Joan E. Smith,NA,NA
Reclining Female Nude,Peter Coyle,NA,NA
Untitled,Joanne Leonie Milne,NA,NA
No. 75,Olivia Grehang,NA,NA
Self Portrait,Zygmunt Bukowski,NA,NA
Saucer,Emma Gillies,NA,NA
Riders from the North Frieze of the Parthenon,NA,NA,NA
Unknown,David Hogg,NA,NA
Three Standing Female Nudes,Andrew Conkie,NA,NA
Landscape near Florence,John P Busby,NA,NA
Privata Care,Natalie Howlett,NA,NA
Untitled - Birds Eye View of City,Laura McPherson,NA,NA
Untitled,James Fleming,NA,NA
Tombstone 1693,Aline McLeod,NA,NA
Unknown,J Lyle,NA,NA
Unknown,Britton,NA,NA
Composition with Stripes and Full Moon,Peter Bewsey,NA,NA
Portrait in Green,Claudia Petretti,NA,NA
Untitled,Paul Gladston,NA,NA
Untitled,Victoria C F Bernie,NA,NA
135,Mark Osborne,NA,NA
Untitled,Colin Vernall,NA,NA
Still Life with Teapot,Mollie E N Langlands,NA,NA
Portrait of a Woman,Ekwall,NA,NA
Sleeping Male Nude,Elspeth Coop,NA,NA
One mould and five wax portrait miniatures,Unknown,NA,NA
Goat,Emma Gillies,NA,NA
Portrait Study,Thomas Kim Redpath,NA,NA
Standing Male Nude with Staff,Cecile E M Johnston,NA,NA
Untitled - Older Couple,Kathleen R Greer,NA,NA
Still Life in White and Grey,David Giblin,NA,NA
Seated Female Nude,Violet Thompson,NA,NA
Stag,Emma Gillies,NA,NA
Seated Male Nude,Kathleen M D Mole,NA,NA
Untitled,Helen Cargill,NA,NA
Untitled,Unknown,NA,NA
Idolino,Unknown,NA,NA
Plate,Emma Gillies,NA,NA
Untitled,Unknown,NA,NA
Unknown,George Donald,NA,NA
Queen Anne apron,Unknown,NA,NA
Seated Male Nude,A Robson,NA,NA
Unknown,Unknown,NA,NA
Untitled,Sylvia M. R. Cameron,NA,NA
Vase,Emma Gillies,NA,NA
Untitled,Mary McKay,NA,NA
Untitled - Pensive Girl,Felicity J Bostock,NA,NA
Unknown,Alexander Cree,NA,NA
Mexican needleweaving.birds and hearts,Unknown,NA,NA
Tuscan Landscape,Elizabeth Blackadder,NA,NA
Portrait of a Man,Eric Fleming,NA,NA
The Children's Hour,"Eduardo Luigi Paolozzi KBE, RA",NA,NA
Unknown,James Goodall,NA,NA
Frieze from the Temple of Athena Nike,NA,NA,NA
Unknown,Donald Urquhart,NA,NA
A CUP OF WINE TOGETHER WILL MAKE US GLAD AND A LITTLE FRIENDSHIP IS NO LITTLE MATTER.,Elaine M. Stenning,NA,NA
Unknown,Mabel D. Lawford,NA,NA
Self Portrait,Lesley M. Johns,NA,NA
Woman in Floral Dress,Eric Ritchie,NA,NA
Unknown,William James Laidlaw Baillie,NA,NA
Kneeling Female Nude,Jean I. Beattie,NA,NA
Riders from the North Frieze of the Parthenon,NA,NA,NA
Chinese sleeveband. waves,Unknown,NA,NA
Opuntia Lencotricha,Jane Watt,NA,NA
Untitled,Shona McKinnon,NA,NA
Untitled,Andrew Arnott,NA,NA
Woman with Child and Still Life,Catherine I. McIvor,NA,NA
Unknown,George Roderick Carmichael,NA,NA
Teacup,Emma Gillies,NA,NA
Unknown,Unknown,NA,NA
Untitled,Kate Baker,NA,NA
Abstract,V. Constant,NA,NA
Untitled,Derek Reid,NA,NA
Untitled - Portrait of Woman in Profile,Gordon Bryce,NA,NA
Espresso Cup,Emma Gillies,NA,NA
Portrait of a Man,Ian J. D. Short,NA,NA
Untitled,Ruth Beale,NA,NA
Untitled,Unknown,NA,NA
Untitled,Kirkland Main,NA,NA
Unknown,John W. Corner,NA,NA
"The Old Church, Corstorphine",Hugh Ross Mackean,NA,NA
Portrait of a Young Boy,David McClure,NA,NA
Untitled,James Goodall,NA,NA
Portrait of a Woman,Rosemary Bagshawe,NA,NA
Untitled,Cant,NA,NA
Untitled,Allan W. Robson,NA,NA
Plate,Emma Gillies,NA,NA
Chariot from North Frieze of the Parthenon,NA,NA,NA
Patrick Nuttgens,John Whittaker,NA,NA
Untitled - Woodland Fantasy in Green,Jean M. Marshall,NA,NA
Cow,Emma Gillies,NA,NA
Untitled,Gregor Smith,NA,NA
Portrait of a Woman,James P W Syme,NA,NA
Memorabilia,James Cumming,NA,NA
Portrait of a Bearded Man,Marjory Dickson,NA,NA
Unknown,Ian Paterson,NA,NA
Portrait of a Man,James Fairgrieve,NA,NA
Untitled - Abstract Landscape with Black,Laura McPherson,NA,NA
Untitled,Alice Carter,NA,NA
"Figure in a Garden, Florence",Brodie,NA,NA
Untitled,Dr Ainslie Yule,NA,NA
Untitled - Portrait of a Woman in Red,Alistair Bell,NA,NA
Standing Male Nude,David Michie,NA,NA
Saucer,Emma Gillies,NA,NA
Unknown,Kenneth R Duffy,NA,NA
Portrait of a Woman,Lilias Stirling,NA,NA
Untitled,Robert L Snowden,NA,NA
Riders from the West Frieze of the Parthenon,NA,NA,NA
Two Views of a Man Seated,Grace Nichol,NA,NA
Unknown,Jeffery Camp,NA,NA
Untitled,Shirley Brown,NA,NA
Relic of Origins: Red Deer,Kyle Noble,NA,NA
Portrait of a Woman,Barbara Strachan,NA,NA
Untitled - Still Life With Flowers,Gwendolene E Roger,NA,NA
Plate,Emma Gillies,NA,NA
Nikola Subić Zrinjski,Boris Bućan,NA,NA
Train Station,T Honeyman,NA,NA
Unknown,Thomas M. B. Watt,NA,NA
Theatre Interior,Robert Maclaurin,NA,NA
Metope South 7 from the Parthenon,NA,NA,NA
The Cape of Good Hope Pub,Ella Smith,NA,NA
Self Portrait,Margaret Moodie,NA,NA
Untitled - Figure Drawing of A Woman with Pig Tails,Gordon Bryce,NA,NA
Man and Cauldron,Alfred Hackney,NA,NA
Unknown,Valerie A. Cockburn (Gage),NA,NA
Standing Male Nude,R Hardie,NA,NA
Untitled,Robert Rivers,NA,NA
Small Landscape,Iain West,NA,NA
Tapestry fragment,Unknown,NA,NA
Unknown,Thomas Clapperton,NA,NA
Rural Landscape,Jacqueline A N Stieger,NA,NA
Untitled,Robert S. Crozier,NA,NA
Aeschylus and Socrates,"Eduardo Luigi Paolozzi KBE, RA",NA,NA
Sky with Floating Kites,Charles Ian Patterson,NA,NA
Untitled,Unknown,NA,NA
Stag,Emma Gillies,NA,NA
Untitled,Unknown,NA,NA
Unknown,Unknown,NA,NA
Portrait of a Woman,Nita Newman,NA,NA
Untitled - Abstract Collage,Leslie McConnell,NA,NA
Side Plate,Emma Gillies,NA,NA
Study for picture 'Waking of Brynhildr',Pavlov Chailly,NA,NA
Unknown,Alan M. Alexander,NA,NA
Abstract Composition in White with Circle,Linda A. Henniker,NA,NA
Male Figure in Black Shaft and Household Appliances,Paul Rooney,NA,NA
Two Greyhounds,James Fairgrieve,NA,NA
Fiddlers,Walter Rogalski,NA,NA
Male Nude on Step Ladders,Helen G. S Forde,NA,NA
Seated Female Nude,John O'Neill,NA,NA
Charioteers and horses from North Frieze of the Parthenon,NA,NA,NA
Harbour Scene 'KY16',John Bellany,NA,NA
Untitled,Annabel Keatley,NA,NA
Untitled,Phoebe Mitchell,NA,NA
Unknown,Thora Clyne,NA,NA
Standing Male Nude with Stick,Lesley Crawford,NA,NA
Schizophrenia,Laura Guoke,NA,NA
Untitled,Ken McLennan,NA,NA
Portrait of Two Heads,Ian Lawson,NA,NA
In''Head,Catherine Freeland,NA,NA
Yellow Abstract with Half People,Jim Mooney,NA,NA
Standing Female Nude,Ruth Illingworth,NA,NA
Saucer,Emma Gillies,NA,NA
The Etiquette of Landscape and Face: Passage 1,Leonie Neuweger,NA,NA
Radio Break,Chris Nau,NA,NA
"Mountains, Arran",Catherine Orbach,NA,NA
Standing Female Nude,NA,NA,NA
Old Town,John Brown,NA,NA
Skeleton,Richard Hunter,NA,NA
Landscape,John Brown,NA,NA
Unknown,James T. Ferguson,NA,NA
Reclining Female Nude,Leslie McConnell,NA,NA
Man Sleeping,Claudia Petretti,NA,NA
"fig.1 Destination, fig 2 Time - 10.35 pm",Andrew Binnie,NA,NA
Cotton Wool Brain,Zuzana Ullmannová,NA,NA
Untitled - Portrait of a Woman in a Hat,Robin E. Bownass,NA,NA
Untitled,Jane R. Nicoll,NA,NA
Portrait of a Woman,Lynn Bushell,NA,NA
Teacup,Emma Gillies,NA,NA
Plate,Emma Gillies,NA,NA
Busmen Newhaven,Irene Thomson,NA,NA
Self Portrait,Victoria A. James,NA,NA
Untitled,Allan W. Robson,NA,NA
Unknown,Zygmunt Bukowski,NA,NA
Candle and Shell at Sea*,Donald Clark,NA,NA
Standing Male Nude with White Cloth,Janet I. Coventry,NA,NA
Architectural Drawing,Graeme McKenna,NA,NA
Untitled,Robert L Snowden,NA,NA
Untitled,Hannah Jasper,NA,NA
Untitled - Drawing in Profile of a Sitting Woman,Carolyn S Byres,NA,NA
The Battle,Marissa Stoffer,NA,NA
Late-night,John Boyle,NA,NA
Untitled,Unknown,NA,NA
Untitled,Robert Rivers,NA,NA
Untitled,Ross Thomson,NA,NA
"Couplings, Escalator for sale",Tessa Lynch,NA,NA
Piana degli Greci,Beatrice Patricia Grimshaw,NA,NA
Standing Female Nude,Kenneth Dingwall,NA,NA
Portrait of a Man,Unknown,NA,NA
Unknown,Robin E. Bownass,NA,NA
Hand of God,Paul Rooney,NA,NA
Untitled,Malin Johanson,NA,NA
Reclining and Seated Female Nudes,Christopher Waite,NA,NA
Untitled - Greenhouse,James B. Thomson,NA,NA
Untitled,Arabella Harvey,NA,NA
Untitled,David C Duke,NA,NA
Untitled,Unknown,NA,NA
Riders from South Frieze of the Parthenon,NA,NA,NA
Untitled,Helen G. S Forde,NA,NA
Standing Nude,Peter Standen,NA,NA
Mythical Composition with Four Figures and Coastal Cliffs,Victorine Anne Schilsky,NA,NA
Unknown,Rosemary Bagshaw,NA,NA
Ayrshire christening robe,Unknown,NA,NA
Untitled,Jane Fairclough,NA,NA
Unknown,Ben Nicholson,NA,NA
Allegro Moderato Firemans' Parade,"Eduardo Luigi Paolozzi KBE, RA",NA,NA
Portrait of Seated Man,Ballantyne,NA,NA
Untitled,Helen G. S Forde,NA,NA
Still Life,Paul John Croft,NA,NA
Unknown,Jeffery Camp,NA,NA
Unknown,Moyna Flannigan,NA,NA
Unknown,Alexander Cree,NA,NA
Blackbird on Toys,Gordon Mitchell,NA,NA
Anatomical figure of legs,NA,NA,NA
Man in His Garden,Muriel A. M. Kirkwood,NA,NA
Unknown,Vivien Alexander,NA,NA
Portrait of a Man,Charles Ian Patterson,NA,NA
Male Portrait,Elizabeth E. Eastmond,NA,NA
Untitled,Esther McGreggor,NA,NA
Kneeling Male Nude,George Hamilton,NA,NA
Emerging,Paul Furneaux,NA,NA
Scaraped Bus Wheel,Alastair Clark,NA,NA
People on Bench,Hazel Rich,NA,NA
Side Plate,Emma Gillies,NA,NA
Seated Female Nude,Robert Fraser,NA,NA
Unknown,Olivia Irvine,NA,NA
Portrait of a Woman,Elizabeth Blackadder,NA,NA
Anique Life drawing - 3rd Year,Kathleen Russell,NA,NA
Portrait of a Man,James Gordon,NA,NA
Portrait of a Man with a Beard,Alan Kemp,NA,NA
Composition with Two Figures in Lime Green,Unknown,NA,NA
Porcus Omnivorous,Sara Ogilvie,NA,NA
Portrait of a Man,Jessie May Stirling,NA,NA
Unknown,Unknown,NA,NA
Untitled,Jeremy Mitchell,NA,NA
Untitled - Two Women at the Ocean,Olivia Irvine,NA,NA
Portrait of a Young Woman,John Kerr,NA,NA
Untitled - Wheatfield in Ink,Anne E Jones,NA,NA
Lying Female Nude,Kenneth R Wheatley,NA,NA
Unknown,Ian Duff,NA,NA
Seated Nude,Ruth Illingworth,NA,NA
Untitled,Victorine Anne Schilsky,NA,NA
Two Female Heads,Denness Morton,NA,NA
Unknown,Alan Chisholm,NA,NA
Seated Female Nude,Robert L Thompson,NA,NA
Untitiled,Robert L Snowden,NA,NA
Unknown,Unknown,NA,NA
Untitled,Rachel Clark,NA,NA
Unknown,Unknown,NA,NA
Unknown,Unknown,NA,NA
Unknown,Peter McLaren,NA,NA
Untitled - Abstract Crowd Scene,William Gillon,NA,NA
Portrait of a Seated Woman,George Donald,NA,NA
Self-Portrait,Gregor Smith,NA,NA
Seated Female Nude,Duncan Thompson,NA,NA
Performing Labour: a guide to creative resistance,Aisling Ward,NA,NA
Untitled,Unknown,NA,NA
Portrait of a Man in a Cap,Irene Ellis,NA,NA
Black Rock,Wendy McMurdo,NA,NA
Siena,John P Busby,NA,NA
Cross Section,Alastair Mack,NA,NA
Two Elements,Wilhelmina Barns-Graham CBE HRSA HRSW,NA,NA
Nude Sleeping,Raymon Pattie,NA,NA
Jalvation cocktail,David Abbott,NA,NA
Untitled,Unknown,NA,NA
Still Life Table,Roy M. W. Cameron,NA,NA
Untitled,Unknown,NA,NA
Head Monotype No. 24,Alan M. Alexander,NA,NA
Metope 2 from entablature of the Parthenon,NA,NA,NA
125,Mark Osborne,NA,NA
Unknown,Unknown,NA,NA
Untitled,Rachel Clark,NA,NA
Red Faced,Daniel Hughes,NA,NA
Standing Male Nude,Betty M. Ferguson,NA,NA
Two Standing Male Nudes,Norma G Reid,NA,NA
St. George,Unknown,NA,NA
Via D' Italia,John Brown,NA,NA
Teacup,Emma Gillies,NA,NA
Portrait of a Woman at a Table,Dorothea Brown,NA,NA
Untitled,Gabrielle Stubbs,NA,NA
Replica cast of Partheon frieze GE32,Unknown,NA,NA
Untitled,Robert L Snowden,NA,NA
Standing Female Nude,Bertha Roxburgh,NA,NA
Side Plate,Emma Gillies,NA,NA
Portrait of a Woman in a Green-Checked Blouse,Annette G B Ronald,NA,NA
Marshal from the East Frieze of the Parthenon,NA,NA,NA
Standing Figure,Ursula M. Henning,NA,NA
The Boston-Edinburgh Portfolio II,Unknown,NA,NA
Seaside Landscape,Thelma M Macdonald,NA,NA
Untitled - Two Chefs in a Dark Room,Gordon Bryce,NA,NA
Riders from South Frieze of the Parthenon,NA,NA,NA
Untitled,Unknown,NA,NA
Unknown,Mabel D. Lawford,NA,NA
Church,Joanne Leonie Milne,NA,NA
Salmon Abstract,Catherine Fairgrieve,NA,NA
Sampler. Mary Ann Park,Mary Ann Park,NA,NA
Seated Nude,Peter Standen,NA,NA
Untitled - Figure Drawing of A Standing Nude Male Draped with a Robe,Gordon Bryce,NA,NA
Two Seated Female Nudes,Fiona M Mouat,NA,NA
Ples,Boris Bućan,NA,NA
Ludovisi Throne,Unknown,NA,NA
Unknown,Roger Cameron,NA,NA
Untitled,Paul Furneaux,NA,NA
Portrait of a Seated Man,John Gilbert,NA,NA
Portrait of a Man with Beard,R Wright,NA,NA
Unknown,Patrick W. Barclay,NA,NA
Portrait of a Woman Seated,Richard McNeill,NA,NA
Unknown,Marjorie Wallace,NA,NA
Unknown,Maureen Baird,NA,NA
Untitled,Peter Pretsell,NA,NA
Standing Female Nude,Rose Rifat,NA,NA
Demolished Building,Keith Thomson,NA,NA
untitled,James T Carlyle,NA,NA
Baroque Nude,Alan Alexander,NA,NA
Seated Female Nude,James Gordon,NA,NA
Abstract Landscape,Kirkland Main,NA,NA
Portrait of a Man,David Michie,NA,NA
Red/Orange Connections,Joanna Wilson,NA,NA
Reflections on métro at 7.13 am,Ann F Ward,NA,NA
Dying Adonis,Clement Pappi,NA,NA
Side Plate,Emma Gillies,NA,NA
Wrap up,George Donald,NA,NA
Plate,Emma Gillies,NA,NA
Goats Feeding,Anthony Gross,NA,NA
Untitled,Unknown,NA,NA
Untitled,Unknown,NA,NA
Untitled,Zeynep Arman,NA,NA
Untitled - Abstract Collage with Spheres,Arlene Isbister,NA,NA
Edinburgh College of Art Postgraduate Degree Show 1986,Andrew Arnott,NA,NA
Unknown,Unknown,NA,NA
Teacup,Emma Gillies,NA,NA
Unknown,Thomas Clapperton,NA,NA
Pier,Lynda Gilland,NA,NA
Untitled,Unknown,NA,NA
Saucer,Emma Gillies,NA,NA
Skeleton,Norman E Kirkpatrick,NA,NA
Riders from the West Frieze of the Parthenon,NA,NA,NA
Unknown,James H Donaldson,NA,NA
138,Mark Osborne,NA,NA
Goddess Nike unfastening her sandal,Vincent Butler,NA,NA
Portrait of a Woman,Jean I. Beattie,NA,NA
blue,Isobel T Johnstone,NA,NA
Untitled,Richard Easson,NA,NA
Untitled - Nude Bathing Figures,F. Milner,NA,NA
Parc de Tuileries - Paris,John Bellany,NA,NA
Standing Female Nude,Margaret Proudfoot,NA,NA
House and Garden,Colin Campbell,NA,NA
Unknown,Leslie Johns,NA,NA
Untitled,Gillian Mather,NA,NA
Untitled,Alison Williams,NA,NA
Untitled,Gregg Magee,NA,NA
Death Mask,H. Dempshall,NA,NA
Two Standing Male Nudes,Eileen Duncan,NA,NA
Untitled,Unknown,NA,NA
Portrait of a Woman with Teacup,Leslie Johns,NA,NA
Five Senses No.3 - Sense of Smell,John Schulz,NA,NA
Abstract in Brown and Blue,George M. Glen,NA,NA
Frieze from the Temple of Athena Nike,NA,NA,NA
Unknown,Alan M. Alexander,NA,NA
Untitled,Sheila Wardrope,NA,NA
Portrait of an Old Woman,Barbara Strachan,NA,NA
Obstacle - Govan Hill Baths,Charles Myatt,NA,NA
Elders from East Frieze of the Parthenon,NA,NA,NA
Looking for women,Tessa Lynch,NA,NA
Untitled,Unknown,NA,NA
Mexican needleweaving.donkeys,Unknown,NA,NA
Untitled,Moyna Flannigan,NA,NA
Untitled,Rhalina Morgan,NA,NA
Bull Fight,Alexander S Campbell,NA,NA
Portrait of Grandfather,John Bellany,NA,NA
Standing Female Nude,Elizabeth Blackadder,NA,NA
Portrait of a Woman Standing,Rosemary Bagshawe,NA,NA
Untitled,Anne Lynch,NA,NA
Untitled,Unknown,NA,NA
Unknown,Unknown,NA,NA
"Untitled - Abstract Green, Purple and Brown Shapes",Joanne Leonie Milne,NA,NA
Portrait of a Woman in a Jumper,W Bryden,NA,NA
Espresso Saucer,Emma Gillies,NA,NA
Untitled - Abstract Male,George H McIntosh,NA,NA
South Frieze of the Parthenon Frieze,NA,NA,NA
Untitled,Helen Pollock,NA,NA
Untitled,[Unknown] Black,NA,NA
"Armorial panel from right tower of Mar's Wark, Stirling",Unknown,NA,NA
Saucer,Emma Gillies,NA,NA
11. Ann Monotype,Alan M. Alexander,NA,NA
Multiple Views of Female Nude,Douglas Gordon,NA,NA
NA,Dorothy Campsie,NA,NA
Portrait of a Woman,Peter Pretsell,NA,NA
Untitled,Janette Brown,NA,NA
Portrait of a Man,Robert A Campbell,NA,NA
Simon and Simon,Amanda Lebus,NA,NA
"Venus de Milo, 130-10 BC",Unknown,NA,NA
Eight Lines II,Wilhelmina Barns-Graham CBE HRSA HRSW,NA,NA
Untitled,John Nelson,NA,NA
Krokadeel,"Eduardo Luigi Paolozzi KBE, RA",NA,NA
Portrait of a Man,C Byron,NA,NA
Untitled,Unknown,NA,NA
Large Cheeseplant,Susan Alexander,NA,NA
Standing Male Nude,Alistair W McCheyne,NA,NA
Standing Female Nude,David Michie,NA,NA
Woman and Fox,James Fairgrieve,NA,NA
Gothic figure of a deacon,NA,NA,NA
Making the World Safe for Capitalism,Kenny Grant,NA,NA
Forest,Sheila MacGregor,NA,NA
Plate,Emma Gillies,NA,NA
Bird in Flight,Wilhelmina Barns-Graham CBE HRSA HRSW,NA,NA
Untitled,Helen G. S Forde,NA,NA
Teacup,Emma Gillies,NA,NA
"""Mr Smith can't remove himself because he doesn't want to""",Ronald D. Forbes,NA,NA
___ in Rosyth the Leaf Skeletons Lay on the Pitch,Sylvia Mackiewicz,NA,NA
Unknown,Alistair Fairweather,NA,NA
Teapot,Emma Gillies,NA,NA
Composition of Two Figures on Yellow*,Alan T. Johnston,NA,NA
Victory,Zygmunt Bukowski,NA,NA
Rooftops,A McIntosh,NA,NA
Unknown,Unknown,NA,NA
Unknown,Robert Runas(?),NA,NA
Standing Male Nude,Mrs Matilda Smith,NA,NA
Portrait of a Woman,John P Busby,NA,NA
Body,Rachel Hill,NA,NA
Standing Female Nude,John P Busby,NA,NA
Untitled,Esther W. Hamilton,NA,NA
Portrait of a Woman,D W Durwand,NA,NA
Untitled,Unknown,NA,NA
View of Edinburgh,R Urgolini (?),NA,NA
West Frieze of the Parthenon,NA,NA,NA
Unknown,Valerie A. Cockburn (Gage),NA,NA
Little Bird,Robert Adam,NA,NA
Unknown,Valerie A. Cockburn (Gage),NA,NA
Small relief of a lady in a wimple,Unknown,NA,NA
Untitled,Paul Gladston,NA,NA
NA,Christine Watson,NA,NA
Santa Maria Dalla Salute,William Wilson,NA,NA
Figures and Shadows,Unknown,NA,NA
Unknown,Frances Sander,NA,NA
Untitled,Unknown,NA,NA
Riders from West Frieze of the Parthenon,NA,NA,NA
Untitled,Gwen Mackenzie,NA,NA
Teacup,Emma Gillies,NA,NA
Portrait of a Man,R Wright,NA,NA
Unknown,Alexander Cree,NA,NA
Side Plate,Emma Gillies,NA,NA
Plate,Emma Gillies,NA,NA
Portrait of a Woman,Sarah Shaw,NA,NA
Abstract Portrait of Two Figures,Iain West,NA,NA
Unknown,Rupert F C Cracknell,NA,NA
Unknown,Zygmunt Bukowski,NA,NA
Untitled - Five Miners,Felicity J Bostock,NA,NA
Untitled,Frank Thomson,NA,NA
Jug,Emma Gillies,NA,NA
Untitled,Robert Rivers,NA,NA
Untitled,John Stewart,NA,NA
Portrait of a Seated Woman,Sheena McEwan,NA,NA
